,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
43,Die Legende der Prinzessin Kaguya,The Tale of The Princess Kaguya,2013-11-23,8.08,"['Animation', 'Drama', 'Fantasy']",49300000.0,137.0,ja,578 days,Sommersemester 15,Wednesday,2015-06-24,93
44,Into the woods,Into the Woods,2014-12-24,5.755,"['Fantasy', 'Comedy']",50000000.0,125.0,en,188 days,Sommersemester 15,Tuesday,2015-06-30,50
45,Birdman,Birdman,2015-07-01,7.42,['Documentary'],0.0,13.0,en,6 days,Sommersemester 15,Tuesday,2015-07-07,51
46,Der wundersame Katzenfisch,The Amazing Catfish,2013-08-10,6.5,"['Comedy', 'Drama']",1300000.0,87.0,es,697 days,Sommersemester 15,Wednesday,2015-07-08,3
47,St. Vincent,St. Vincent,2014-10-09,7.105,['Comedy'],13000000.0,102.0,en,278 days,Sommersemester 15,Tuesday,2015-07-14,11
48,Keine Lieder über Liebe,Keine Lieder über Liebe,2005-10-26,6.9755789473684215,"['Music', 'Drama', 'Romance']",0.0,98.0,de,175 days,Sommersemester 06,Wednesday,2006-04-19,80
49,L.A. Crash,The Show Must Go Off!: Dance Hall Crashers - Live at the House of Blues L.A.,2005-01-01,6.9755789473684215,['Music'],0.0,76.0,en,479 days,Sommersemester 06,Tuesday,2006-04-25,104
50,Der kleine Horrorladen,Little Shop of Horrors,1986-12-19,6.911,"['Horror', 'Comedy']",25000000.0,94.0,en,7068 days,Sommersemester 06,Wednesday,2006-04-26,46
51,Flame,Flame,1975-02-13,6.9755789473684215,"['Drama', 'Music']",0.0,91.0,en,11401 days,Sommersemester 06,Tuesday,2006-05-02,18
52,Shopgirl,Shopgirl,2005-10-21,5.749,"['Comedy', 'Drama', 'Romance']",10284523.0,104.0,en,194 days,Sommersemester 06,Wednesday,2006-05-03,26
53,Spartacus,Spartacus,1960-10-13,7.551,"['History', 'War', 'Drama', 'Adventure']",12000000.0,197.0,en,16644 days,Sommersemester 06,Tuesday,2006-05-09,9
54,Mongolian Ping Pong,Mongolian Ping Pong,2005-06-11,6.9,"['Drama', 'Comedy']",0.0,102.0,zh,333 days,Sommersemester 06,Wednesday,2006-05-10,39
55,Dear Wendy,Dear Wendy,2005-02-04,5.8,"['Comedy', 'Crime', 'Drama', 'Romance']",0.0,105.0,en,467 days,Sommersemester 06,Wednesday,2006-05-17,46
56,Paradise Now,Paradise Now,2005-09-07,6.933,"['Thriller', 'Crime', 'Drama']",2000000.0,90.0,en,258 days,Sommersemester 06,Tuesday,2006-05-23,15
57,Hallesche Kometen,Hallesche Kometen,2006-01-19,6.9755789473684215,['Drama'],0.0,83.0,de,125 days,Sommersemester 06,Wednesday,2006-05-24,15
58,Der Löwe im Winter,The Lion in Winter,2003-12-26,6.1,"['Drama', 'History', 'TV Movie', 'Romance']",0.0,167.0,en,886 days,Sommersemester 06,Tuesday,2006-05-30,6
59,Die Stadt der verlorenen Kinder,The City of Lost Children,1995-05-17,7.257,"['Fantasy', 'Science Fiction', 'Adventure']",18000000.0,108.0,fr,4032 days,Sommersemester 06,Wednesday,2006-05-31,13
60,Casablanca,Casablanca,1943-01-15,8.161,"['Drama', 'Romance']",878000.0,102.0,en,23161 days,Sommersemester 06,Wednesday,2006-06-14,16
61,Ray,Ray,2004-10-29,7.447,"['Drama', 'Music']",40000000.0,152.0,en,600 days,Sommersemester 06,Wednesday,2006-06-21,16
62,Die Tiefseetaucher,The Life Aquatic with Steve Zissou,2004-12-10,7.098,"['Adventure', 'Comedy', 'Drama']",50000000.0,119.0,en,564 days,Sommersemester 06,Tuesday,2006-06-27,19
63,Aaltra,Aaltra,2004-06-23,6.3,"['Comedy', 'Drama']",0.0,92.0,en,735 days,Sommersemester 06,Wednesday,2006-06-28,45
64,Aimée & Jaguar,Aimée & Jaguar,1999-02-11,6.8,"['Drama', 'History', 'Romance']",0.0,125.0,de,2700 days,Sommersemester 06,Tuesday,2006-07-04,5
65,Dr. Seltsam,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.122,"['Comedy', 'War']",1800000.0,95.0,en,15498 days,Sommersemester 06,Wednesday,2006-07-05,25
66,Thirteen Days,Thirteen Days,2000-12-25,6.992,"['History', 'Thriller']",80000000.0,145.0,en,2024 days,Sommersemester 06,Tuesday,2006-07-11,20
67,Populärmusik aus Vittula,Popular Music,2004-10-01,6.373,"['Comedy', 'Drama']",2224000.0,105.0,sv,649 days,Sommersemester 06,Wednesday,2006-07-12,45
68,Transamerica,Transamerica,2005-02-14,7.0,"['Drama', 'Adventure', 'Comedy']",1000000.0,103.0,en,519 days,Sommersemester 06,Tuesday,2006-07-18,61
69,Swimming Pool,Swimming Pool,2003-05-21,6.505,"['Crime', 'Thriller']",7800000.0,102.0,en,1155 days,Sommersemester 06,Wednesday,2006-07-19,22
70,Chihiros Reise ins Zauberland,Spirited Away,2001-07-20,8.537,"['Animation', 'Family', 'Fantasy']",19000000.0,125.0,ja,1832 days,Sommersemester 06,Wednesday,2006-07-26,17
71,No Place on Earth,No Place on Earth,2012-09-10,6.7,"['Documentary', 'War']",0.0,81.0,en,589 days,Sommersemester 14,Tuesday,2014-04-22,7
72,Into the White,Into the White,2012-03-09,6.9,"['War', 'Action', 'Drama']",0.0,104.0,no,775 days,Sommersemester 14,Wednesday,2014-04-23,1
73,Gravity,Gravity,2013-10-03,7.164,"['Science Fiction', 'Thriller', 'Drama']",105000000.0,91.0,en,208 days,Sommersemester 14,Tuesday,2014-04-29,44
74,Westerland,Westerland,2012-10-21,6.75035,"['Drama', 'Romance']",0.0,85.0,de,546 days,Sommersemester 14,Sunday,2014-04-20,0
75,RED 2,RED 2,2013-07-18,6.524,"['Action', 'Comedy', 'Crime', 'Thriller']",84000000.0,116.0,en,292 days,Sommersemester 14,Tuesday,2014-05-06,9
76,Jung und Schön,Young & Beautiful,2013-08-21,6.471,['Drama'],4645437.0,95.0,fr,259 days,Sommersemester 14,Wednesday,2014-05-07,21
77,Alois Nebel,Alois Nebel,2011-09-04,6.8,"['Animation', 'Drama']",0.0,84.0,cs,982 days,Sommersemester 14,Tuesday,2014-05-13,0
78,12 Years a slave,12 Years a Slave,2013-10-18,7.943,"['Drama', 'History']",20000000.0,134.0,en,214 days,Sommersemester 14,Tuesday,2014-05-20,115
79,The Bling Ring,The Bling Ring,2013-06-12,5.416,"['Drama', 'Crime']",15000000.0,90.0,en,343 days,Sommersemester 14,Wednesday,2014-05-21,37
80,Blue Jasmin,Blue Jasmine,2013-08-01,6.997,['Drama'],18000000.0,99.0,en,299 days,Sommersemester 14,Tuesday,2014-05-27,47
81,Inside Llewyn Davis,Inside Llewyn Davis,2013-10-18,7.196,"['Drama', 'Music']",11000000.0,104.0,en,222 days,Sommersemester 14,Wednesday,2014-05-28,15
82,Metropia,Metropia,2009-10-21,6.0,"['Animation', 'Drama', 'Science Fiction', 'Thriller']",5060730.0,86.0,en,1686 days,Sommersemester 14,Tuesday,2014-06-03,12
83,Fack ju Göhte,Suck Me Shakespeer,2013-11-07,7.021,['Comedy'],5000000.0,119.0,de,209 days,Sommersemester 14,Wednesday,2014-06-04,226
84,Antboy,Antboy,2013-09-07,5.6,"['Comedy', 'Adventure', 'Family']",0.0,77.0,da,283 days,Sommersemester 14,Tuesday,2014-06-17,2
85,Der Schaum der Tage,Mood Indigo,2013-01-10,6.155,"['Drama', 'Fantasy']",16040770.0,130.0,fr,530 days,Sommersemester 14,Tuesday,2014-06-24,10
86,Mohnblumenberg,From Up on Poppy Hill,2011-07-16,7.531,"['Animation', 'Drama']",22000000.0,91.0,ja,1081 days,Sommersemester 14,Tuesday,2014-07-01,32
87,Kill your Darlings,Kill Your Darlings,2013-06-10,7.093,"['Drama', 'Romance', 'Thriller']",5600000.0,104.0,en,387 days,Sommersemester 14,Wednesday,2014-07-02,9
88,Alphabet,Alphabet,2013-10-31,7.0,['Documentary'],0.0,113.0,de,250 days,Sommersemester 14,Tuesday,2014-07-08,18
89,Renoir,Renoir,2012-07-02,6.3,"['Drama', 'Romance']",0.0,111.0,fr,737 days,Sommersemester 14,Wednesday,2014-07-09,5
90,Und morgen Mittag bin ich tot,Zurich,2014-02-13,6.75035,['Drama'],0.0,102.0,de,152 days,Sommersemester 14,Tuesday,2014-07-15,29
91,Blau ist eine warme Farbe,Blue Is the Warmest Color,2013-10-09,7.088,"['Romance', 'Drama']",4300000.0,180.0,fr,280 days,Sommersemester 14,Wednesday,2014-07-16,24
92,Rocketman,Rocketman,2019-05-17,7.323,"['Music', 'Drama']",40000000.0,121.0,en,165 days,Wintersemester 1920,Tuesday,2019-10-29,93
93,Absolute Giganten,Gigantic,1999-09-30,7.7,"['Drama', 'Comedy']",0.0,80.0,de,7335 days,Wintersemester 1920,Wednesday,2019-10-30,7
94,Tanz der Teufel 2,Evil Dead II,1987-03-13,7.548,"['Horror', 'Comedy', 'Fantasy']",3500000.0,84.0,en,11920 days,Wintersemester 1920,Thursday,2019-10-31,52
95,Meisterdetektiv Pikachu,Pokémon Detective Pikachu,2019-05-03,6.9,"['Action', 'Adventure', 'Fantasy']",150000000.0,105.0,en,186 days,Wintersemester 1920,Tuesday,2019-11-05,93
96,Chris the Swiss,Chris the Swiss,2018-10-03,6.88,"['Animation', 'Documentary']",0.0,90.0,de,399 days,Wintersemester 1920,Wednesday,2019-11-06,7
97,The Villainess,The Villainess,2017-06-08,6.866,"['Action', 'Crime', 'Drama', 'Thriller']",125000.0,129.0,ko,882 days,Wintersemester 1920,Thursday,2019-11-07,21
98,10 Milliarden,10 Billion: What's On Your Plate,2015-04-16,7.346052631578947,['Documentary'],0.0,107.0,de,1671 days,Wintersemester 1920,Tuesday,2019-11-12,42
99,One Cut of the Dead,One Cut of the Dead,2017-11-04,7.62,"['Comedy', 'Horror']",52406.0,96.0,ja,740 days,Wintersemester 1920,Thursday,2019-11-14,40
100,The Hate U Give,The Hate U Give,2018-10-19,8.135,"['Crime', 'Drama']",23000000.0,133.0,en,396 days,Wintersemester 1920,Tuesday,2019-11-19,86
101,Ghost in the Shell,Ghost in the Shell,1995-11-18,7.928,"['Action', 'Animation', 'Science Fiction']",3000000.0,82.0,ja,8768 days,Wintersemester 1920,Wednesday,2019-11-20,60
102,Free Solo,Free Solo,2018-09-28,7.909,"['Documentary', 'Adventure']",0.0,100.0,en,419 days,Wintersemester 1920,Thursday,2019-11-21,54
103,Lord of the Toys,Lord of the Toys,2019-05-23,7.02,"['Documentary', 'Drama']",0.0,95.0,de,187 days,Wintersemester 1920,Tuesday,2019-11-26,85
104,Der schwarze Engel,The Black Angel,1974-05-07,6.96,['Drama'],0.0,72.0,de,16640 days,Wintersemester 1920,Wednesday,2019-11-27,5
105,Five Fingers for Marseilles,Five Fingers for Marseilles,2018-04-06,5.6,"['Western', 'Drama', 'Thriller']",1000000.0,121.0,en,601 days,Wintersemester 1920,Thursday,2019-11-28,9
106,More than Honey,More Than Honey,2012-08-11,7.194,['Documentary'],0.0,90.0,de,2670 days,Wintersemester 1920,Tuesday,2019-12-03,31
107,Das schönste Mädchen der Welt,The Most Beautiful Girl in the World,2018-09-06,7.4,"['Comedy', 'Romance', 'Drama', 'Music']",0.0,102.0,de,455 days,Wintersemester 1920,Thursday,2019-12-05,14
108,The Broken Circle,The Broken Circle Breakdown,2012-10-09,7.706,['Drama'],0.0,112.0,nl,2618 days,Wintersemester 1920,Tuesday,2019-12-10,13
109,They Shall Not Grow Old,They Shall Not Grow Old,2018-11-09,7.8,"['Documentary', 'History', 'War']",0.0,99.0,en,397 days,Wintersemester 1920,Wednesday,2019-12-11,56
110,Mr. Nobody,Mr. Nobody,2009-11-06,7.82,"['Science Fiction', 'Drama', 'Romance']",47000000.0,141.0,en,3693 days,Wintersemester 1920,Tuesday,2019-12-17,20
111,Boy and the World,Boy & the World,2014-01-17,7.266,"['Animation', 'Adventure', 'Family']",0.0,80.0,pt,2161 days,Wintersemester 1920,Wednesday,2019-12-18,9
112,Days of Summer,(500) Days of Summer,2009-07-17,7.282,"['Comedy', 'Drama', 'Romance']",7500000.0,95.0,en,270 days,Sommersemester 10,Tuesday,2010-04-13,75
113,Das weiße Band,The White Ribbon,2009-09-24,7.502,"['Drama', 'Mystery']",21555450.0,144.0,de,202 days,Sommersemester 10,Wednesday,2010-04-14,87
114,Louise Hires A Contract Killer,Louise-Michel,2008-09-23,6.2,['Comedy'],0.0,94.0,fr,575 days,Sommersemester 10,Wednesday,2010-04-21,51
115,Let's Make Money,Let's Make Money,2008-10-30,7.5,['Documentary'],0.0,110.0,en,544 days,Sommersemester 10,Tuesday,2010-04-27,73
116,Résiste – Aufstand der Praktikanten,Résiste - Aufstand der Praktikanten,2009-11-12,6.604833333333334,['Comedy'],0.0,0.0,de,167 days,Sommersemester 10,Wednesday,2010-04-28,18
117,Stille Hochzeit - Zum Teufel mit Stalin!,Silent Wedding,2008-11-21,7.2,"['Comedy', 'Drama', 'History']",0.0,87.0,ro,529 days,Sommersemester 10,Tuesday,2010-05-04,34
118,It Might Get Loud,It Might Get Loud,2008-09-05,7.157,"['Documentary', 'Music']",0.0,97.0,en,607 days,Sommersemester 10,Wednesday,2010-05-05,48
119,Love Exposure,Love Exposure,2009-01-31,7.96,"['Action', 'Comedy', 'Drama', 'Romance']",0.0,237.0,ja,466 days,Sommersemester 10,Wednesday,2010-05-12,36
120,Die Anwälte - Eine deutsche Geschichte,The Lawyers,2009-11-19,6.604833333333334,['Documentary'],0.0,92.0,de,180 days,Sommersemester 10,Tuesday,2010-05-18,111
121,Big Fish,Big Fish,2003-12-25,7.758,"['Adventure', 'Fantasy', 'Drama']",70000000.0,125.0,en,2337 days,Sommersemester 10,Wednesday,2010-05-19,67
122,Verfolgt,Punish Me,2006-08-06,4.8,['Drama'],0.0,87.0,de,1395 days,Sommersemester 10,Tuesday,2010-06-01,15
123,"Männer, die auf Ziegen starren",The Men Who Stare at Goats,2009-10-17,5.983,"['Comedy', 'War']",24000000.0,94.0,en,228 days,Sommersemester 10,Wednesday,2010-06-02,129
124,Nord,North,2009-02-06,6.5,"['Comedy', 'Drama']",0.0,78.0,no,488 days,Sommersemester 10,Wednesday,2010-06-09,14
125,Das Cabinet des Dr. Caligari,The Cabinet of Dr. Caligari,1920-02-27,7.946,"['Drama', 'Horror', 'Thriller', 'Crime']",18000.0,78.0,de,32981 days,Sommersemester 10,Tuesday,2010-06-15,10
126,The Imaginarium Of Doctor Parnassus,The Imaginarium of Doctor Parnassus,2009-10-01,6.382,"['Adventure', 'Fantasy', 'Mystery']",30000000.0,123.0,en,258 days,Sommersemester 10,Wednesday,2010-06-16,110
127,The Art Of Being Straight,The Art of Being Straight,2009-06-05,4.3,"['Drama', 'Comedy', 'Romance']",0.0,68.0,en,382 days,Sommersemester 10,Tuesday,2010-06-22,22
128,Tulpan,Tulpan,2009-03-04,6.3,"['Drama', 'Comedy', 'Romance']",0.0,100.0,kk,476 days,Sommersemester 10,Wednesday,2010-06-23,2
129,Dust,Dust,2001-08-29,5.5,"['Action', 'Drama', 'Romance', 'Western']",0.0,127.0,en,3226 days,Sommersemester 10,Tuesday,2010-06-29,9
130,Mr. Magoriums Wunderladen,Mr. Magorium's Wonder Emporium,2007-11-14,6.217,"['Family', 'Fantasy', 'Comedy']",65000000.0,93.0,en,965 days,Sommersemester 10,Tuesday,2010-07-06,14
131,The Age Of Stupid,The Age of Stupid,2009-09-21,6.4,"['War', 'Documentary', 'History']",0.0,92.0,en,296 days,Sommersemester 10,Wednesday,2010-07-14,21
132,The Batman,The Batman,2022-03-01,7.679,"['Crime', 'Mystery', 'Thriller']",185000000.0,177.0,en,238 days,Wintersemester 2223,Tuesday,2022-10-25,21
133,The Innocents,The Innocents,1961-12-15,7.454,"['Horror', 'Mystery']",0.0,100.0,en,22230 days,Wintersemester 2223,Wednesday,2022-10-26,14
134,Revolution of Our Times,Revolution of Our Times,2021-11-22,8.3,['Documentary'],0.0,152.0,cn,345 days,Wintersemester 2223,Wednesday,2022-11-02,30
135,The Worst Person in the World,The Worst Person in the World,2021-10-13,7.528,"['Drama', 'Romance', 'Comedy']",5000000.0,128.0,no,391 days,Wintersemester 2223,Tuesday,2022-11-08,16
136,Elvis,Elvis,2022-06-22,7.542,"['Drama', 'Music', 'History']",85000000.0,159.0,en,146 days,Wintersemester 2223,Tuesday,2022-11-15,34
137,Moulin Rouge!,Moulin Rouge!,2001-05-24,7.568,"['Drama', 'Romance', 'Music']",52500000.0,128.0,en,7846 days,Wintersemester 2223,Wednesday,2022-11-16,39
138,River,River,2021-09-03,7.145,['Documentary'],0.0,75.0,en,445 days,Wintersemester 2223,Tuesday,2022-11-22,10
139,C'mon C'mon,C'mon C'mon,2021-11-19,7.251,['Drama'],8300000.0,109.0,en,369 days,Wintersemester 2223,Wednesday,2022-11-23,8
140,The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,2022-04-20,6.77,"['Action', 'Comedy', 'Crime']",30000000.0,107.0,en,223 days,Wintersemester 2223,Tuesday,2022-11-29,7
141,Dogville,Dogville,2003-05-21,7.772,"['Crime', 'Drama', 'Thriller']",10000000.0,178.0,en,7133 days,Wintersemester 2223,Wednesday,2022-11-30,7
142,Das Ereignis,Soldier Boyz,1995-11-23,5.0,"['Thriller', 'Action', 'Drama']",0.0,90.0,en,9875 days,Wintersemester 2223,Tuesday,2022-12-06,6
143,Moneyboys,Moneyboys,2021-11-19,6.6,['Drama'],0.0,116.0,zh,383 days,Wintersemester 2223,Wednesday,2022-12-07,3
144,Die Odyssee,Die Odyssee der Kinder,2012-03-05,7.145,['Documentary'],0.0,0.0,de,3930 days,Wintersemester 2223,Thursday,2022-12-08,0
145,The Electrical Life of Louis Wain,The Electrical Life of Louis Wain,2021-10-21,6.927,"['Drama', 'History', 'Comedy']",0.0,111.0,en,418 days,Wintersemester 2223,Tuesday,2022-12-13,10
146,"Das Licht, aus dem die Träume sind",Last Film Show,2022-01-06,7.3,['Drama'],2000000.0,110.0,gu,342 days,Wintersemester 2223,Wednesday,2022-12-14,4
147,Everything Everywhere All At Once,Everything Everywhere All at Once,2022-03-24,7.791,"['Action', 'Adventure', 'Science Fiction']",25000000.0,140.0,en,292 days,Wintersemester 2223,Tuesday,2023-01-10,68
148,Blutsauger,Bloodsuckers,2022-05-12,7.145,"['Drama', 'History', 'Fantasy']",0.0,125.0,de,245 days,Wintersemester 2223,Thursday,2023-01-12,12
149,Rabiye Kurnaz vs. George W. Bush,Rabiye Kurnaz vs. George W. Bush,2022-04-28,6.348,"['Drama', 'History']",0.0,119.0,de,264 days,Wintersemester 2223,Tuesday,2023-01-17,3
150,Der beste Film aller Zeiten,Official Competition,2021-09-04,6.7,"['Comedy', 'Drama']",0.0,114.0,es,501 days,Wintersemester 2223,Wednesday,2023-01-18,1
151,Vertigo,Vertigo,1958-05-28,8.168,"['Mystery', 'Romance', 'Thriller']",2479000.0,129.0,en,23612 days,Wintersemester 2223,Thursday,2023-01-19,10
152,Tomorrow - Die Welt ist voller Lösungen,Tomorrow,2015-11-15,7.8,['Documentary'],0.0,118.0,fr,2627 days,Wintersemester 2223,Tuesday,2023-01-24,9
153,The Other Side of the River,The Other Side of the River,2022-05-20,7.145,['Drama'],250000.0,107.0,gu,250 days,Wintersemester 2223,Wednesday,2023-01-25,8
154,Top Gun: Maverick,Top Gun: Maverick,2022-05-21,8.221,"['Action', 'Drama']",170000000.0,131.0,en,250 days,Wintersemester 2223,Thursday,2023-01-26,2
155,Wo in Paris die Sonne aufgeht,"Paris, 13th District",2021-11-03,6.911,"['Drama', 'Romance']",0.0,106.0,fr,454 days,Wintersemester 2223,Tuesday,2023-01-31,4
156,Triangle of Sadness,Triangle of Sadness,2022-09-18,7.1,"['Comedy', 'Drama']",15600000.0,147.0,en,136 days,Wintersemester 2223,Wednesday,2023-02-01,30
157,Red Rocket,Red Rocket,2021-12-10,6.759,"['Drama', 'Comedy']",1100000.0,130.0,en,419 days,Wintersemester 2223,Thursday,2023-02-02,9
158,Vortex,Vortex,2022-01-27,7.2,['Drama'],0.0,142.0,fr,376 days,Wintersemester 2223,Tuesday,2023-02-07,2
